Time (s),Voltage (V)
-0.0012,0.05999949
-0.0011979999999999998,-0.06000051
-0.0011959999999999998,0.05999949
-0.001194,-0.06000051
-0.001192,0.05999949
-0.0011899999999999999,-0.04000051
-0.0011879999999999998,-0.06000051
-0.001186,0.05999949
-0.001184,0.05999949
-0.0011819999999999999,-0.06000051
-0.0011799999999999998,-0.04000051
-0.0011779999999999998,0.05999949
-0.001176,-0.04000051
-0.001174,0.05999949
-0.0011719999999999999,0.05999949
-0.0011699999999999998,-0.06000051
-0.001168,0.05999949
-0.001166,-0.06000051
-0.0011639999999999999,0.05999949
-0.0011619999999999998,-0.06000051
-0.00116,-0.04000051
-0.001158,0.05999949
-0.001156,-0.04000051
-0.0011539999999999999,0.05999949
-0.0011519999999999998,0.05999949
-0.00115,-0.06000051
-0.001148,0.05999949
-0.0011459999999999999,-0.06000051
-0.0011439999999999998,0.05999949
-0.0011419999999999998,-0.06000051
-0.00114,0.05999949
-0.001138,-0.06000051
-0.0011359999999999999,-0.04000051
-0.0011339999999999998,0.05999949
-0.001132,-0.04000051
-0.00113,0.05999949
-0.0011279999999999999,0.05999949
-0.0011259999999999998,-0.06000051
-0.001124,-0.04000051
-0.001122,0.05999949
-0.00112,-0.04000051
-0.0011179999999999999,0.05999949
-0.0011159999999999998,-0.04000051
-0.001114,0.05999949
-0.001112,0.05999949
-0.0011099999999999999,-0.06000051
-0.0011079999999999998,0.05999949
-0.001106,-0.06000051
-0.001104,0.05999949
-0.001102,-0.06000051
-0.0010999999999999998,-0.06000051
-0.0010979999999999998,0.05999949
-0.001096,-0.04000051
-0.001094,0.05999949
-0.0010919999999999999,0.05999949
-0.0010899999999999998,-0.06000051
-0.001088,0.05999949
-0.001086,-0.06000051
-0.001084,-0.06000051
-0.0010819999999999998,0.05999949
-0.0010799999999999998,-0.06000051
-0.001078,0.05999949
-0.001076,0.05999949
-0.0010739999999999999,-0.04000051
-0.0010719999999999998,0.05999949
-0.00107,-0.06000051
-0.001068,0.05999949
-0.0010659999999999999,-0.06000051
-0.0010639999999999998,-0.06000051
-0.001062,0.05999949
-0.00106,0.05999949
-0.001058,-0.06000051
-0.0010559999999999999,-0.04000051
-0.0010539999999999998,0.05999949
-0.001052,-0.06000051
-0.00105,0.05999949
-0.0010479999999999999,0.05999949
-0.0010459999999999998,-0.06000051
-0.0010439999999999998,-0.06000051
-0.001042,0.05999949
-0.00104,0.05999949
-0.0010379999999999999,-0.06000051
-0.0010359999999999998,-0.06000051
-0.001034,0.05999949
-0.001032,0.05999949
-0.0010299999999999999,-0.06000051
-0.0010279999999999998,-0.04000051
-0.001026,0.05999949
-0.001024,0.03999949
-0.001022,-0.06000051
-0.0010199999999999999,-0.06000051
-0.0010179999999999998,0.05999949
-0.001016,-0.04000051
-0.001014,0.05999949
-0.0010119999999999999,0.05999949
-0.0010099999999999998,-0.06000051
-0.0010079999999999998,0.05999949
-0.001006,-0.06000051
-0.001004,-0.06000051
-0.0010019999999999999,1.459999
-0.001,1.479999
-0.000998,2.779998
-0.000996,2.719998
-0.0009939999999999999,2.939997
-0.0009919999999999998,2.879997
-0.00099,2.979997
-0.000988,2.899997
-0.000986,2.979997
-0.0009839999999999998,2.979997
-0.0009819999999999998,2.879997
-0.00098,2.979997
-0.000978,2.879997
-0.0009759999999999999,2.879997
-0.0009739999999999999,2.979997
-0.0009719999999999999,2.899997
-0.0009699999999999999,2.979997
-0.0009679999999999999,2.899997
-0.0009659999999999998,2.979997
-0.0009639999999999999,2.899997
-0.000962,2.979997
-0.0009599999999999999,2.979997
-0.0009579999999999999,2.879997
-0.0009559999999999999,2.979997
-0.000954,2.879997
-0.0009519999999999999,2.899997
-0.0009499999999999999,2.979997
-0.0009479999999999998,2.979997
-0.0009459999999999999,2.879997
-0.000944,2.979997
-0.0009419999999999999,2.899997
-0.0009399999999999999,2.899997
-0.0009379999999999999,2.979997
-0.000936,2.979997
-0.0009339999999999999,2.879997
-0.0009319999999999999,2.879997
-0.0009299999999999998,2.979997
-0.0009279999999999999,2.899997
-0.000926,2.979997
-0.0009239999999999999,2.899997
-0.0009219999999999999,2.979997
-0.0009199999999999999,2.899997
-0.000918,2.979997
-0.0009159999999999999,2.979997
-0.0009139999999999999,2.899997
-0.0009119999999999998,2.979997
-0.0009099999999999999,2.879997
-0.000908,2.899997
-0.0009059999999999999,2.979997
-0.0009039999999999999,2.979997
-0.0009019999999999999,2.899997
-0.0009,2.979997
-0.0008979999999999999,2.899997
-0.0008959999999999999,2.979997
-0.0008939999999999998,2.899997
-0.0008919999999999999,2.979997
-0.00089,2.879997
-0.0008879999999999999,2.979997
-0.0008859999999999999,2.879997
-0.0008839999999999999,2.979997
-0.000882,2.879997
-0.0008799999999999999,2.899997
-0.0008779999999999999,2.979997
-0.0008759999999999999,2.899997
-0.0008739999999999999,2.979997
-0.0008719999999999999,2.979997
-0.0008699999999999999,2.879997
-0.0008679999999999998,2.879997
-0.0008659999999999999,2.979997
-0.000864,2.979997
-0.0008619999999999999,2.899997
-0.0008599999999999999,2.979997
-0.0008579999999999999,2.879997
-0.000856,2.899997
-0.0008539999999999999,2.979997
-0.0008519999999999999,2.899997
-0.0008499999999999998,2.979997
-0.0008479999999999999,2.979997
-0.000846,2.879997
-0.0008439999999999999,2.979997
-0.0008419999999999999,2.879997
-0.0008399999999999999,2.979997
-0.000838,2.899997
-0.0008359999999999999,2.979997
-0.0008339999999999999,2.879997
-0.0008319999999999998,2.899997
-0.0008299999999999999,2.979997
-0.000828,2.979997
-0.0008259999999999999,2.879997
-0.0008239999999999999,2.879997
-0.0008219999999999999,2.979997
-0.00082,2.979997
-0.0008179999999999999,2.879997
-0.0008159999999999999,2.979997
-0.0008139999999999998,2.879997
-0.0008119999999999999,2.979997
-0.00081,2.899997
-0.0008079999999999999,2.899997
-0.0008059999999999999,2.979997
-0.0008039999999999999,2.979997
-0.000802,2.879997
-0.0007999999999999999,2.879997
-0.0007979999999999999,2.979997
-0.0007959999999999998,2.979997
-0.0007939999999999999,2.879997
-0.000792,2.899997
-0.0007899999999999999,2.979997
-0.0007879999999999999,2.979997
-0.0007859999999999999,2.899997
-0.000784,2.899997
-0.0007819999999999999,2.979997
-0.0007799999999999999,2.879997
-0.0007779999999999999,2.979997
-0.0007759999999999999,2.979997
-0.000774,2.899997
-0.0007719999999999999,2.899997
-0.0007699999999999999,2.979997
-0.0007679999999999999,2.899997
-0.000766,2.979997
-0.0007639999999999999,2.979997
-0.0007619999999999999,2.879997
-0.0007599999999999999,2.979997
-0.000758,2.879997
-0.0007559999999999999,2.979997
-0.0007539999999999999,2.879997
-0.0007519999999999998,2.899997
-0.0007499999999999999,2.979997
-0.000748,2.899997
