Time (s),Voltage (V)
0.0005059999999999999,2.98
0.000508,2.9
0.0005099999999999999,3.0
0.000512,2.9
0.000514,3.0
0.000516,2.9
0.000518,3.0
0.00052,2.9
0.000522,3.0
0.0005239999999999999,2.9
0.000526,3.0
0.0005279999999999999,2.9
0.00053,3.0
0.000532,2.9
0.000534,3.0
0.000536,3.0
0.000538,2.9
0.00054,3.0
0.000542,2.9
0.000544,2.9
0.0005459999999999999,3.0
0.000548,3.0
0.0005499999999999999,2.9
0.000552,2.9
0.000554,3.0
0.000556,3.0
0.000558,2.9
0.00056,2.9
0.000562,3.0
0.0005639999999999999,2.9
0.000566,3.0
0.0005679999999999999,2.9
0.00057,3.0
0.000572,2.9
0.000574,3.0
0.000576,2.9
0.000578,3.0
0.00058,2.9
0.0005819999999999999,3.0
0.000584,2.9
0.0005859999999999999,2.98
0.000588,2.9
0.0005899999999999999,3.0
0.000592,2.9
0.000594,3.0
0.000596,2.9
0.000598,3.0
0.0006,3.0
0.000602,2.9
0.0006039999999999999,2.9
0.000606,2.98
0.0006079999999999999,2.9
0.00061,2.98
0.000612,2.9
0.000614,3.0
0.000616,2.9
0.000618,3.0
0.00062,2.9
0.0006219999999999999,3.0
0.000624,2.9
0.0006259999999999999,3.0
0.000628,2.9
0.0006299999999999999,3.0
0.000632,2.9
0.000634,3.0
0.000636,2.9
0.000638,3.0
0.0006399999999999999,2.9
0.000642,3.0
0.0006439999999999999,2.9
0.000646,3.0
0.0006479999999999999,2.9
0.00065,2.98
0.000652,2.9
0.000654,2.98
0.000656,3.0
0.000658,2.9
0.00066,2.9
0.0006619999999999999,3.0
0.000664,2.98
0.0006659999999999999,2.9
0.000668,2.9
0.00067,2.98
0.000672,2.9
0.000674,3.0
0.000676,2.9
0.000678,3.0
0.0006799999999999999,3.0
0.000682,2.9
0.0006839999999999999,2.9
0.000686,3.0
0.0006879999999999999,2.9
0.00069,3.0
0.000692,2.9
0.000694,3.0
0.000696,3.0
0.0006979999999999999,1.48
0.0007,1.48
0.0007019999999999999,0.14
0.000704,0.2
0.0007059999999999999,-0.02
0.000708,-0.04
0.00071,0.06
0.000712,0.06
0.000714,-0.06
0.000716,0.04
0.000718,-0.06
0.0007199999999999999,0.06
0.000722,-0.06
0.0007239999999999999,0.04
0.000726,-0.06
0.0007279999999999999,0.06
0.00073,-0.06
0.000732,0.06
0.000734,-0.06
0.000736,0.06
0.0007379999999999999,-0.06
0.00074,0.06
0.0007419999999999999,-0.04
0.000744,0.04
0.0007459999999999999,-0.06
0.000748,0.04
0.00075,-0.06
0.000752,-0.06
0.000754,0.06
0.0007559999999999999,-0.06
0.000758,0.06
0.0007599999999999999,-0.04
0.000762,0.04
0.0007639999999999999,-0.04
0.000766,0.06
0.000768,0.06
0.00077,-0.06
0.000772,-0.06
0.000774,0.06
