Time (s),Voltage (V)
-0.0012,0.199994
-0.0011979999999999998,-0.600006
-0.0011959999999999998,-0.600006
-0.001194,0.399994
-0.001192,-0.600006
-0.0011899999999999999,0.399994
-0.0011879999999999998,0.399994
-0.001186,-0.600006
-0.001184,-0.600006
-0.0011819999999999999,0.399994
-0.0011799999999999998,0.399994
-0.0011779999999999998,-0.600006
-0.001176,0.399994
-0.001174,-0.600006
-0.0011719999999999999,0.399994
-0.0011699999999999998,-0.600006
-0.001168,0.199994
-0.001166,-0.600006
-0.0011639999999999999,-0.600006
-0.0011619999999999998,0.399994
-0.00116,0.399994
-0.001158,-0.600006
-0.001156,0.199994
-0.0011539999999999999,-0.600006
-0.0011519999999999998,0.199994
-0.00115,-0.800006
-0.001148,-0.600006
-0.0011459999999999999,0.199994
-0.0011439999999999998,0.199994
-0.0011419999999999998,-0.600006
-0.00114,0.199994
-0.001138,-0.600006
-0.0011359999999999999,0.199994
-0.0011339999999999998,-0.600006
-0.001132,0.399994
-0.00113,-0.600006
-0.0011279999999999999,-0.600006
-0.0011259999999999998,0.399994
-0.001124,0.199994
-0.001122,-0.800006
-0.00112,0.199994
-0.0011179999999999999,-0.600006
-0.0011159999999999998,0.399994
-0.001114,-0.600006
-0.001112,0.199994
-0.0011099999999999999,-0.600006
-0.0011079999999999998,0.199994
-0.001106,-0.800006
-0.001104,0.199994
-0.001102,-0.800006
-0.0010999999999999998,0.199994
-0.0010979999999999998,-0.600006
-0.001096,0.199994
-0.001094,-0.800006
-0.0010919999999999999,-0.600006
-0.0010899999999999998,0.199994
-0.001088,0.199994
-0.001086,-0.800006
-0.001084,0.199994
-0.0010819999999999998,-0.800006
-0.0010799999999999998,0.199994
-0.001078,-0.800006
-0.001076,0.199994
-0.0010739999999999999,-0.600006
-0.0010719999999999998,0.199994
-0.00107,-0.400006
-0.001068,0.199994
-0.0010659999999999999,-0.600006
-0.0010639999999999998,-0.600006
-0.001062,0.199994
-0.00106,0.199994
-0.001058,-0.600006
-0.0010559999999999999,-0.600006
-0.0010539999999999998,0.399994
-0.001052,-0.600006
-0.00105,0.399994
-0.0010479999999999999,-0.600006
-0.0010459999999999998,0.599994
-0.0010439999999999998,-0.600006
-0.001042,0.399994
-0.00104,0.399994
-0.0010379999999999999,-0.600006
-0.0010359999999999998,0.199994
-0.001034,-0.600006
-0.001032,-0.600006
-0.0010299999999999999,0.399994
-0.0010279999999999998,-0.600006
-0.001026,0.399994
-0.001024,-0.600006
-0.001022,0.399994
-0.0010199999999999999,0.199994
-0.0010179999999999998,-0.600006
-0.001016,0.199994
-0.001014,-0.600006
-0.0010119999999999999,0.199994
-0.0010099999999999998,-0.600006
-0.0010079999999999998,0.199994
-0.001006,-0.600006
-0.001004,-0.800006
-0.0010019999999999999,14.19999
-0.001,14.59999
-0.000998,27.60003
-0.000996,27.20003
-0.0009939999999999999,29.40003
-0.0009919999999999998,28.60003
-0.00099,29.60003
-0.000988,29.60003
-0.000986,28.80003
-0.0009839999999999998,29.60003
-0.0009819999999999998,28.80003
-0.00098,29.60003
-0.000978,28.80003
-0.0009759999999999999,29.60003
-0.0009739999999999999,28.80003
-0.0009719999999999999,28.80003
-0.0009699999999999999,29.60003
